Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
35.3,45,Male,2,0,no change,5,0.74,1.1,50,0.61,28.4167235,29.5
35.3,45,Male,1,0,no change,6,0.74,1.1,50.3,0.79,28.16401785,29.5
35.4,55,Male,2,0,no change,6,0.74,1.3,49.9,0.73,27.14798329,29.5
35.6,25,Male,2,0,cooler,6,0.74,1.1,45.8,0.56,23.11247226,29.5
35.6,55,Male,0,1,no change,6,0.68,1.1,45.3,0.49,23.84620154,29.5
35.8,45,Male,2,0,cooler,6,0.55,1.1,45.1,0.35,23.84620154,29.5
35.8,55,Male,0,1,no change,6,0.61,1.1,44.8,0.66,23.85210838,29.5
36,55,Male,2,0,cooler,5,0.74,1,45,0.85,27.23274465,29.5
34.3,55,Male,0,1,no change,6,0.59,1.4,50,0.42,26.47627952,29.5
34,55,Male,0,1,warmer,6,0.68,1,49.4,0.66,19.58008897,29.5
35,55,Female,3,0,no change,5,0.63,1.3,48,0.59,32.24993701,29.5
36.2,35,Male,2,0,no change,5,0.74,1.3,43.4,0.7,19.07696123,29.5
36.2,55,Male,2,0,warmer,6,0.74,1.1,43.7,0.68,26.03311608,29.5
36.6,55,Male,2,0,no change,6,0.74,1.1,41.7,1,25.68052473,29.5
37,25,Female,2,0,no change,5,0.57,1.3,40.4,0.99,24.92011324,29.5
37.5,35,Female,3,0,no change,2,0.57,1.1,38,0.6,27.98616708,29.5
37.5,55,Male,2,0,no change,5,0.59,1.6,35.6,0.74,44.41570135,29.5
37.5,45,Male,2,0,no change,6,0.53,1.1,31.5,0.45,19.58008897,29.5
37.3,25,Male,2,0,no change,5,0.59,1.9,32.6,0.76,21.79358524,29.5
37.7,55,Male,3,0,warmer,5,0.59,1.6,30.2,0.54,23.84620154,29.5
37.4,55,Male,1,0,cooler,5,0.74,1.1,25.8,0.76,25.68052473,29.5
37.5,25,Male,1,0,no change,5,0.67,1.1,25.6,0.4,18.10544005,29.5
37.5,25,Male,1,0,warmer,5,0.59,1.3,25,0.83,17.77015412,29.5
37.7,45,Male,1,0,no change,6,0.74,1.3,25,0.64,21.12301339,29.5
37.7,25,Male,3,0,no change,4,0.74,1.3,25,0.52,19.07696123,29.5
37.2,25,Male,3,0,no change,3,0.52,1.1,25.7,0.64,20.78772746,29.5
37.4,55,Male,3,0,no change,1,0.68,1.1,25.3,0.23,24.85497811,29.5
36.6,55,Male,3,0,no change,5,0.53,1.1,30.8,0.67,25.79994961,29.5
35.6,45,Male,1,0,no change,4,0.53,1.1,32.5,0.51,23.84620154,29.5
36.2,55,Female,2,0,no change,4,0.6,1.1,31.4,0.91,27.23274465,29.5
37.6,25,Female,3,0,no change,3,0.57,1.1,28.3,0.48,20.24493845,29.5
36.9,25,Female,2,0,no change,2,0.42,1.1,30.8,0.45,20.96245906,29.5
36.9,45,Male,1,0,no change,4,0.7,1.6,30.2,0.44,23.13472895,29.5
34.5,55,Male,3,0,no change,5,0.64,1,49.1,0.31,18.34697547,29.5
35.2,55,Male,2,0,cooler,5,0.75,1.2,47,0.67,17.39799398,29.5
35,35,Female,2,0,no change,6,0.9,1.1,46.7,0.91,29.50214004,29.5
34.9,35,Male,3,0,no change,4,0.74,1.1,46.8,0.79,24.96334926,29.5
35,65,Male,3,0,cooler,6,0.68,1.4,46.8,0.78,24.67351873,29.5
34.9,65,Male,3,0,warmer,6,0.67,1.3,46.6,0.84,19.58008897,29.5
34.9,35,Female,2,0,no change,5,0.9,1.1,46.4,0.91,20.15621063,29.5
35.2,35,Male,1,1,no change,6,0.69,1.1,47.6,0.38,25.00624114,29.5
35.5,55,Male,1,1,no change,6,0.64,1.1,45.6,0.5,27.20413604,29.5
36.2,55,Male,2,0,no change,1,0.58,1.1,43.8,0.67,27.34375,29.5
36.3,55,Male,3,0,no change,1,0.58,1.1,41.5,0.58,30.81662968,29.5
36.2,45,Male,1,0,no change,2,0.58,1.1,41.5,0.25,20.71248176,29.5
36.9,25,Female,3,0,no change,1,0.62,1.1,41.5,0.45,19.53125,29.5
37.1,45,Female,3,0,no change,1,0.63,1.1,41.6,0.73,19.66809336,29.5
37.2,45,Male,3,0,warmer,1,0.7,1.1,41.2,0.62,24.14058673,29.5
36.7,45,Male,2,0,cooler,2,0.7,1.1,43.7,0.28,18.22318125,29.5
36.8,45,Male,2,0,no change,1,0.64,1.1,42.4,0.25,26.70012133,29.5
36.6,25,Male,1,0,no change,3,0.7,1.2,42.3,0.18,18.91162823,29.5
37.3,35,Male,3,0,no change,1,0.58,1.1,40.9,0.39,22.09331387,29.5
37.1,55,Male,3,0,no change,1,0.7,1.1,41.4,0.51,19.81069051,29.5
36.3,45,Male,3,0,warmer,3,0.64,1.2,39.7,1.04,21.79358524,29.5
35.1,55,Female,3,0,no change,6,0.6,1.2,37.5,0.79,29.296875,29.5
37.9,45,Male,2,0,cooler,5,0.7,1.1,31,0.17,27.23274465,29.5
38.1,55,Male,3,0,no change,1,0.64,1.1,31.7,0.73,25.89060219,29.5
37.7,35,Female,3,0,no change,2,0.53,1,25.6,0.45,24.5851167,29.5
36.9,35,Male,2,1,no change,3,0.58,1,28.6,0.43,26.82287414,29.5
38,35,Male,2,1,no change,3,0.52,1.1,25.1,0.2,16.44126686,29.5
38.7,55,Male,2,0,no change,1,0.46,1.1,24,0.23,24.16456205,29.5
39.4,65,Male,1,1,no change,4,0.55,1.1,21.3,0.98,24.57993082,29.5
39.4,35,Male,0,0,no change,1,0.52,1.1,22.3,0.25,24.5851167,29.5
38.3,25,Male,2,0,cooler,1,0.55,1.1,24.1,0.78,19.53125,29.5
37.9,25,Male,2,0,no change,1,0.55,1.1,24.6,0.32,16.76429634,29.5
33.1,45,Female,1,0,no change,4,0.42,1.1,57.6,0.37,30.13894917,29.5
33.3,45,Male,1,1,no change,6,0.63,1.1,56.2,0.43,29.75778547,29.5
33.4,45,Male,1,0,no change,4,0.7,1.1,56.1,0.51,27.05612294,29.5
33.6,45,Male,2,0,no change,4,0.58,1.1,54.2,0.35,25.27611485,29.5
33.6,25,Male,2,0,cooler,2,0.68,1.1,55.4,0.55,26.09804696,29.5
